document_id,page_index,heading_text,condition,detector_status,verification_status
INE001B01026_2018,47,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,49,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,49,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,51,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,51,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,53,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,55,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,55,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,57,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,59,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,59,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,61,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,61,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,63,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,65,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,67,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,74,A detailed review of operations and performance and,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,74,the head ‘Management Discussion & Analysis’ pursuant,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,119,Management discussion and analysis of financial,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,126,MANAGEMENT DISCUSSION AND ANALYSIS,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,245,Management Discussion & Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,3,Management Discussion & Analysis................................... 50,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,27,Management Discussion and Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,27,Management Discussion and Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,28,Management Discussion and Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,29,Management Discussion and Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,30,Management Discussion and Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,31,Management Discussion and Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,32,Management Discussion and Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,33,Management Discussion and Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,37,‘Management Discussion and Analysis’ Report pursuant to,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2025,3,Management Discussion & Analysis.................................................... 62,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2025,42,given in the Management Discussion and Analysis,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2025,47,disclosed in ‘Management Discussion and Analysis’,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001B01026_2025,51,‘Management Discussion and Analysis’.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2012,10,Management discussion and analysis of financial conditions and results of operations;,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2012,12,"Management Discussion and Analysis forms part of the Annual Report, which is posted to the",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2013,14,Management discussion and analysis of financial conditions and results of operations;,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2013,16,"Management Discussion and Analysis forms part of the Annual Report, which is posted to the",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2017,16,"Management Discussion and Analysis forms part of the Annual Report, which is posted to the sharehold",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2018,27,The Management Discussion and Analysis Report may,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2018,35,(1)	 management discussion and analysis of financial condition and results of operations;,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2018,38,"Management Discussion and Analysis forms part of the Annual Report, which is posted to the sharehold",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2024,24,management discussion and analysis of financial condition and results of operations;,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2024,27,"Management Discussion and Analysis forms part of the Annual Report, which is sent to the shareholde",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2025,21,management discussion and analysis of financial condition and results of operations;,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001F01019_2025,24,"Management Discussion and Analysis forms part of the Annual Report, which is sent to the shareholde",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2012,8,MANAGEMENT DISCUSSION AND ANALYSIS REPORT :,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2012,13,"b. Management discussion and analysis forms part of the Annual Report, which is posted to the",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2012,14,K.  MANAGEMENT DISCUSSION AND ANALYSIS,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2012,14,A statement of Management Discussion and Analysis is part of the Directors report in terms of the re,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2013,1,Management Discussion and Analysis Report,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2013,6,CORPORATE GOVERNANCE AND MANAGEMENT DISCUSSION AND ANALYSIS,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2013,6,Management Discussion and Analysis are annexed to and form part of this Annual Report.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2013,7,MANAGEMENT DISCUSSION AND ANALYSIS REPORT,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2013,7,"Statement in this report on Management Discussion and Analysis describing the Company's objectives,",mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2013,10,Management discussion and analysis forms part of the Annual Report.,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2017,2,Management Discussion & Analysis Report,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2017,13,MANAGEMENT DISCUSSION AND ANALYSIS,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2017,13,The Management Discussion and Analysis forms an integral part of this Report and gives detail of the,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2017,33,MANAGEMENT DISCUSSION AND ANALYSIS REPORT,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2018,2,Management Discussion & Analysis Report,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2018,10,MANAGEMENT DISCUSSION AND ANALYSIS REPORT,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2018,10,The Management Discussion and Analysis Report forms an integral part of this Report and gives detail,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2018,31,MANAGEMENT DISCUSSION AND ANALYSIS REPORT,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
INE001O01029_2024,3,Management Discussion and Analysis Report,mda_heading_candidate,CANDIDATE,NOT_REVIEWED
