FY,N_documents,N_physical_pages,N_full_page_raster,raster_page_fraction,N_measurable_pages,measurable_page_fraction,median_dpi,median_skew,median_contrast,median_noise,median_blur
2011,1,48,48,1.0,48,1.0,146.18,-0.4,0.60195,0.0086,4801.55
2012,28,3298,243,0.0737,243,1.0,299.99,-0.4,0.5451,0.011,3645.06
2013,29,3517,757,0.2152,757,1.0,165.55,-0.2,0.4667,0.0135,4804.57
2015,2,3,1,0.3333,1,1.0,152.0,-0.2,0.349,0.0062,1854.49
2017,31,6469,437,0.0676,437,1.0,156.6,-0.2,0.4667,0.0118,2822.9
2018,31,6240,193,0.0309,193,1.0,100.32,-0.2,0.6471,0.0043,892.08
2024,36,8825,537,0.0608,537,1.0,144.05,-0.4,0.6314,0.0077,2007.22
2025,36,9517,693,0.0728,693,1.0,96.16,-0.2,0.5686,0.0098,1967.24
