condition,evidence_status,num_documents,num_issuers,affected_issuers,example_document_ids,split_availability,notes
scanned,KNOWN_FROM_PRIOR,5,5,INE002A01018;INE002L01015;INE003B01014;INE004C01028;INE009A01021,INE002A01018_2018;INE002L01015_2012;INE003B01014_2011;INE004C01028_2024;INE009A01021_2013,FIT;HOLDOUT;VALIDATION,
Devanagari,OBSERVED,2,1,INE002L01015,INE002L01015_2024;INE002L01015_2025,HOLDOUT,condition confined to issuer INE002L01015; unavailable outside split HOLDOUT
annexure,INFERRED,5,2,INE009A01021;INE040A01034,INE009A01021_2012;INE009A01021_2017;INE009A01021_2018;INE009A01021_2024;INE040A01034_2024,FIT;VALIDATION,condition present in 2 issuers but absent from split(s): HOLDOUT
unusual_heading,INFERRED,2,1,INE009A01021,INE009A01021_2024;INE009A01021_2025,VALIDATION,condition confined to issuer INE009A01021; unavailable outside split VALIDATION
short_report,INFERRED,2,2,INE00FF01025;INE00LO01017,INE00FF01025_2015;INE00LO01017_2015,FIT,"condition present in 2 issuers but absent from split(s): HOLDOUT, VALIDATION"
